,page_number,word,organization
382,6,mayor,Durham City
383,6,and,Durham City
384,6,city,Durham City
385,6,council,Durham City
386,6,kimberly,Durham City
387,6,m,Durham City
388,6,rehberg,Durham City
389,6,thomas,Durham City
390,6,j,Durham City
391,6,bonfield,Durham City
392,6,diana,Durham City
393,6,schreiber,Durham City
394,6,city,Durham City
395,6,attorney,Durham City
396,6,city,Durham City
397,6,manager,Durham City
398,6,city,Durham City
399,6,clerk,Durham City
400,6,office,Durham City
401,6,of,Durham City
402,6,public,Durham City
403,6,affairs,Durham City
404,6,audit,Durham City
405,6,services,Durham City
406,6,administrative,Durham City
407,6,and,Durham City
408,6,support,Durham City
409,6,operations,Durham City
410,6,community,Durham City
411,6,building,Durham City
412,6,wanda,Durham City
413,6,s,Durham City
414,6,page,Durham City
415,6,w,Durham City
416,6,bowman,Durham City
417,6,ferguson,Durham City
418,6,keith,Durham City
419,6,chadwell,Durham City
420,6,deputy,Durham City
421,6,city,Durham City
422,6,manager,Durham City
423,6,deputy,Durham City
424,6,city,Durham City
425,6,manager,Durham City
426,6,deputy,Durham City
427,6,city,Durham City
428,6,manager,Durham City
429,6,budget,Durham City
430,6,and,Durham City
431,6,management,Durham City
432,6,citycounty,Durham City
433,6,emergency,Durham City
434,6,general,Durham City
435,6,services,Durham City
436,6,citycounty,Durham City
437,6,inspections,Durham City
438,6,services,Durham City
439,6,management,Durham City
440,6,parks,Durham City
441,6,and,Durham City
442,6,recreation,Durham City
443,6,citycounty,Durham City
444,6,planning,Durham City
445,6,fire,Durham City
446,6,equity,Durham City
447,6,inclusion,Durham City
448,6,public,Durham City
449,6,works,Durham City
450,6,community,Durham City
451,6,development,Durham City
452,6,police,Durham City
453,6,solid,Durham City
454,6,waste,Durham City
455,6,management,Durham City
456,6,transportation,Durham City
457,6,finance,Durham City
458,6,citycounty,Durham City
459,6,emergency,Durham City
460,6,communications,Durham City
461,6,water,Durham City
462,6,management,Durham City
463,6,economic,Durham City
464,6,and,Durham City
465,6,workforce,Durham City
466,6,human,Durham City
467,6,resources,Durham City
468,6,development,Durham City
469,6,fleet,Durham City
470,6,management,Durham City
471,6,technology,Durham City
472,6,solutions,Durham City
473,6,neighborhood,Durham City
474,6,improvement,Durham City
475,6,citycounty,Durham City
476,6,department,Durham City
477,6,services,Durham City
478,7,table,Durham City
479,7,of,Durham City
480,7,contents,Durham City
481,7,letter,Durham City
482,7,of,Durham City
483,7,transmittal,Durham City
484,7,managers,Durham City
485,7,letter,Durham City
486,7,city,Durham City
487,7,priorities,Durham City
488,7,and,Durham City
489,7,policies,Durham City
490,7,overview,Durham City
491,7,strategic,Durham City
492,7,plan,Durham City
493,7,goal,Durham City
494,7,crosswalk,Durham City
495,7,budget,Durham City
496,7,and,Durham City
497,7,financial,Durham City
498,7,policies,Durham City
499,7,multiyear,Durham City
500,7,projections,Durham City
501,7,overview,Durham City
502,7,fund,Durham City
503,7,appropriation,Durham City
504,7,and,Durham City
505,7,revenue,Durham City
506,7,projections,Durham City
507,7,budget,Durham City
508,7,summaries,Durham City
509,7,summaryall,Durham City
510,7,funds,Durham City
511,7,summary,Durham City
512,7,of,Durham City
513,7,revenuesfunds,Durham City
514,7,recognized,Durham City
515,7,in,Durham City
516,7,budget,Durham City
517,7,ordinance,Durham City
518,7,operating,Durham City
519,7,funds,Durham City
520,7,by,Durham City
521,7,appropriate,Durham City
522,7,category,Durham City
523,7,intrabudget,Durham City
524,7,transfers,Durham City
525,7,summary,Durham City
526,7,of,Durham City
527,7,appropriations,Durham City
528,7,for,Durham City
529,7,all,Durham City
530,7,funds,Durham City
531,7,property,Durham City
532,7,tax,Durham City
533,7,base,Durham City
534,7,information,Durham City
535,7,tax,Durham City
536,7,rate,Durham City
537,7,and,Durham City
538,7,estimated,Durham City
539,7,tax,Durham City
540,7,collection,Durham City
541,7,fund,Durham City
542,7,balanceestimated,Durham City
543,7,changed,Durham City
544,7,in,Durham City
545,7,unrestricted,Durham City
546,7,fund,Durham City
547,7,balance,Durham City
548,7,summary,Durham City
549,7,of,Durham City
550,7,authorized,Durham City
551,7,positions,Durham City
552,7,by,Durham City
553,7,department,Durham City
554,7,summary,Durham City
555,7,of,Durham City
556,7,authorized,Durham City
557,7,position,Durham City
558,7,by,Durham City
559,7,fund,Durham City
560,7,fund,Durham City
561,7,summaries,Durham City
562,7,overview,Durham City
563,7,general,Durham City
564,7,fund,Durham City
565,7,summary,Durham City
566,7,general,Durham City
567,7,funddiscretionary,Durham City
568,7,revenue,Durham City
569,7,general,Durham City
570,7,fundprogram,Durham City
571,7,revenues,Durham City
572,7,general,Durham City
573,7,fundnondepartmental,Durham City
574,7,appropriations,Durham City
575,7,debt,Durham City
576,7,service,Durham City
577,7,fund,Durham City
578,7,water,Durham City
579,7,and,Durham City
580,7,sewer,Durham City
581,7,fund,Durham City
582,7,solid,Durham City
583,7,waste,Durham City
584,7,fund,Durham City
585,7,stormwater,Durham City
586,7,management,Durham City
587,7,fund,Durham City
588,7,transit,Durham City
589,7,fund,Durham City
590,7,parking,Durham City
591,7,facilities,Durham City
592,7,fund,Durham City
593,7,ballpark,Durham City
594,7,fund,Durham City
595,7,durham,Durham City
596,7,performing,Durham City
597,7,arts,Durham City
598,7,center,Durham City
599,7,fund,Durham City
600,7,business,Durham City
601,7,improvement,Durham City
602,7,district,Durham City
603,7,fund,Durham City
604,7,dedicated,Durham City
605,7,housing,Durham City
606,7,fund,Durham City
607,7,emergency,Durham City
608,7,telephone,Durham City
609,7,system,Durham City
610,7,surcharge,Durham City
611,7,fund,Durham City
612,7,inspections,Durham City
613,7,fund,Durham City
614,7,impact,Durham City
615,7,fee,Durham City
616,7,fund,Durham City
617,7,risk,Durham City
618,7,reduction,Durham City
619,7,fund,Durham City
620,7,employee,Durham City
621,7,insurance,Durham City
622,7,fund,Durham City
623,8,governance,Durham City
624,8,budget,Durham City
625,8,summary,Durham City
626,8,city,Durham City
627,8,council,Durham City
628,8,city,Durham City
629,8,attorney,Durham City
630,8,city,Durham City
631,8,clerk,Durham City
632,8,city,Durham City
633,8,manager,Durham City
634,8,administration,Durham City
635,8,and,Durham City
636,8,support,Durham City
637,8,services,Durham City
638,8,budget,Durham City
639,8,summary,Durham City
640,8,audit,Durham City
641,8,services,Durham City
642,8,budget,Durham City
643,8,and,Durham City
644,8,management,Durham City
645,8,services,Durham City
646,8,equity,Durham City
647,8,and,Durham City
