,page_number,word,organization
321,4,resources,Raleigh City
322,4,e,Raleigh City
323,4,healthdental,Raleigh City
324,4,trust,Raleigh City
325,4,and,Raleigh City
326,4,opeb,Raleigh City
327,4,trust,Raleigh City
328,4,funds,Raleigh City
329,4,e,Raleigh City
330,4,information,Raleigh City
331,4,technology,Raleigh City
332,4,e,Raleigh City
333,4,special,Raleigh City
334,4,appropriations,Raleigh City
335,4,e,Raleigh City
336,5,infrastructure,Raleigh City
337,5,and,Raleigh City
338,5,public,Raleigh City
339,5,services,Raleigh City
340,5,infrastructure,Raleigh City
341,5,services,Raleigh City
342,5,map,Raleigh City
343,5,f,Raleigh City
344,5,city,Raleigh City
345,5,planning,Raleigh City
346,5,f,Raleigh City
347,5,development,Raleigh City
348,5,services,Raleigh City
349,5,f,Raleigh City
350,5,engineering,Raleigh City
351,5,services,Raleigh City
352,5,f,Raleigh City
353,5,stormwater,Raleigh City
354,5,utility,Raleigh City
355,5,fund,Raleigh City
356,5,f,Raleigh City
357,5,vehicle,Raleigh City
358,5,fleet,Raleigh City
359,5,services,Raleigh City
360,5,internal,Raleigh City
361,5,service,Raleigh City
362,5,fund,Raleigh City
363,5,f,Raleigh City
364,5,housing,Raleigh City
365,5,and,Raleigh City
366,5,neighborhoods,Raleigh City
367,5,f,Raleigh City
368,5,solid,Raleigh City
369,5,waste,Raleigh City
370,5,services,Raleigh City
371,5,fund,Raleigh City
372,5,f,Raleigh City
373,5,transportation,Raleigh City
374,5,f,Raleigh City
375,5,capital,Raleigh City
376,5,area,Raleigh City
377,5,metropolitan,Raleigh City
378,5,planning,Raleigh City
379,5,organization,Raleigh City
380,5,f,Raleigh City
381,5,parking,Raleigh City
382,5,facilities,Raleigh City
383,5,fund,Raleigh City
384,5,f,Raleigh City
385,5,public,Raleigh City
386,5,transit,Raleigh City
387,5,fund,Raleigh City
388,5,f,Raleigh City
389,5,public,Raleigh City
390,5,safety,Raleigh City
391,5,public,Raleigh City
392,5,safety,Raleigh City
393,5,station,Raleigh City
394,5,map,Raleigh City
395,5,g,Raleigh City
396,5,emergency,Raleigh City
397,5,communications,Raleigh City
398,5,g,Raleigh City
399,5,emergency,Raleigh City
400,5,telephone,Raleigh City
401,5,system,Raleigh City
402,5,fund,Raleigh City
403,5,g,Raleigh City
404,5,fire,Raleigh City
405,5,g,Raleigh City
406,5,police,Raleigh City
407,5,g,Raleigh City
408,5,leisure,Raleigh City
409,5,services,Raleigh City
410,5,leisure,Raleigh City
411,5,services,Raleigh City
412,5,map,Raleigh City
413,5,h,Raleigh City
414,5,convention,Raleigh City
415,5,center,Raleigh City
416,5,complex,Raleigh City
417,5,fund,Raleigh City
418,5,h,Raleigh City
419,5,walnut,Raleigh City
420,5,creek,Raleigh City
421,5,amphitheater,Raleigh City
422,5,operating,Raleigh City
423,5,fund,Raleigh City
424,5,h,Raleigh City
425,5,parks,Raleigh City
426,5,recreation,Raleigh City
427,5,and,Raleigh City
428,5,cultural,Raleigh City
429,5,resources,Raleigh City
430,5,h,Raleigh City
431,5,revolving,Raleigh City
432,5,fund,Raleigh City
433,5,h,Raleigh City
434,5,public,Raleigh City
435,5,utilities,Raleigh City
436,5,public,Raleigh City
437,5,utilities,Raleigh City
438,5,map,Raleigh City
439,5,i,Raleigh City
440,5,public,Raleigh City
441,5,utilities,Raleigh City
442,5,fund,Raleigh City
443,5,i,Raleigh City
444,5,water,Raleigh City
445,5,and,Raleigh City
446,5,sewer,Raleigh City
447,5,infrastructure,Raleigh City
448,5,funds,Raleigh City
449,5,i,Raleigh City
450,5,watershed,Raleigh City
451,5,protection,Raleigh City
452,5,fee,Raleigh City
453,5,fund,Raleigh City
454,5,i,Raleigh City
455,5,annual,Raleigh City
456,5,and,Raleigh City
457,5,agency,Raleigh City
458,5,grants,Raleigh City
459,5,city,Raleigh City
